i,var,beta,ml,mom,gmm,cue,el
1,x1,-0.7488270657500321,-0.7467177146240288,-0.7495605295595098,-0.7936906096057315,-0.7996088511324185,-0.7592184443023342
1,x2,0.29989836373805545,0.18251916299743334,0.18124287857065205,0.17240188464331127,0.16306993352969748,0.16137988310693155
1,x3,0.9272217971417436,0.9694799053958179,0.9638816883975005,1.0481463879946746,1.0540005361512836,0.9924786228990967
1,x4,-0.5204378213386672,-0.4622275030450391,-0.4617148335059921,-0.48262880395175156,-0.4955181773931513,-0.4653170956377187
1,x5,-0.2981462627682887,-0.35262216777582955,-0.36543137767993417,-0.4134942084878853,-0.40656344302714165,-0.3696774196987298
2,x1,0.09401377885482898,0.04346979801497885,0.04707984422004978,0.047890515475284313,0.043002762539755365,0.03925047468894304
2,x2,-0.49050811818467643,-0.45314718046683256,-0.45225093709925873,-0.4560457327191017,-0.46657653099095103,-0.4476455882639315
2,x3,0.6473023818430714,0.6190698061039619,0.6161465533441074,0.6379314792665804,0.6376931345488103,0.616203136964858
2,x4,-0.45572419482996507,-0.4225334408712123,-0.42445184825029536,-0.45008555337458067,-0.441962947134919,-0.4315683498791103
2,x5,-0.10401748158867374,-0.13464066999066202,-0.13481747135011224,-0.14379515595429213,-0.15063854696108975,-0.14265532332524028
3,x1,0.5077075216926552,0.40440948388758197,0.40425456205105603,0.42432546731079024,0.4181494656421464,0.40414330268569154
3,x2,-0.8998332254507837,-0.9021988801408374,-0.8953426127664285,-0.943832861030321,-0.9508628535738173,-0.9219083275463155
3,x3,0.36931372592627443,0.5075554331472646,0.5087373167498912,0.5304954139384079,0.5316751148159877,0.5199405248832886
3,x4,0.5193230966150773,0.399248257952193,0.4010971690299971,0.40669486129211707,0.39190177919935865,0.3878636419210858
3,x5,0.5248501070702503,0.43008613923348743,0.4262561703760223,0.44227421652404,0.45136488554753873,0.4380629557329644
4,x1,0.17802075227450498,0.22111244924685672,0.21892968343873037,0.21814552882220423,0.2184457119264337,0.2170523665091848
4,x2,0.4605380203090397,0.4292064830155459,0.41828302423398633,0.43556841903094845,0.428449213701422,0.42119882845810297
4,x3,0.7443340734628701,0.8332305544329378,0.8323684691788732,0.8605682401715788,0.8547611820592724,0.8278070621530645
4,x4,-0.1785541295863824,-0.22580279979495502,-0.22423519911527987,-0.24232300970942944,-0.23902199198544488,-0.229285064730807
4,x5,-0.971452980316761,-0.9119694274331293,-0.9044052983868559,-0.930757139576508,-0.9321832946487223,-0.9000957717003977
5,x1,0.7597058503932361,0.708214719473201,0.71638082285104,0.760720384268331,0.7916856602913432,0.7087811038579451
5,x2,0.24450645243221492,0.16025126386209396,0.1705770072165605,0.20061594471106858,0.21673994680795444,0.15919099875615284
5,x3,-0.7494233101327086,-0.5438354411692113,-0.5517235831535265,-0.602239087173138,-0.6059091851004654,-0.548241095697386
5,x4,0.5383701897182036,0.3697130841230538,0.3800503618507488,0.4365219468364218,0.44372244094096125,0.3888379107785064
5,x5,-0.8634003176324223,-0.7487442517876177,-0.7556042961282734,-0.8449954715572996,-0.8787300752589631,-0.7809305575535217
6,x1,-0.7485408330560879,-0.8495900125605667,-0.849641891846074,-0.8581950555779306,-0.8548056410525906,-0.8515179460787735
6,x2,0.36781406740316336,0.40039647140649326,0.40805927301239003,0.4312039679540449,0.4222684614164813,0.383920325412459
6,x3,-0.974092299726605,-1.0554891132231454,-1.0647408600130577,-1.0858688507830758,-1.0893942397429905,-1.0416753297223957
6,x4,-0.5887258105107975,-0.6279295477513975,-0.6345243173506999,-0.7573150398780311,-0.7358005306962824,-0.6875764164332787
6,x5,0.8312795546152973,0.9589908281882547,0.9604608973045348,1.050984179711853,1.022202100348395,1.0056642900207011
7,x1,0.6101422395812317,0.5641398972002197,0.5610886615809334,0.6263786022230948,0.6109917956979674,0.5743054887541115
7,x2,-0.15715183892463847,-0.09137790265228225,-0.09719333761386487,-0.14128684229161853,-0.14529493899249407,-0.10026394118323974
7,x3,0.8653758312571267,0.944992460146474,0.9291483178335849,0.9858981354938108,0.9804581634259371,0.9097912177476725
7,x4,0.37301789307680977,0.4386029548688669,0.43429392455833693,0.5046046615408574,0.5205899960366707,0.48252123069202696
7,x5,0.8252061730350566,0.8957512226956995,0.8918942830938575,0.953770842622722,0.9341064404482788,0.8860148409176253
8,x1,0.5889456296574072,0.5407484226657441,0.5391032171781386,0.5369479788204493,0.5371248536309579,0.5313948677928859
8,x2,0.6602547572304007,0.6718047477988356,0.6652170077306806,0.6836966427642928,0.6744662931040324,0.6664767973829885
8,x3,0.21406597702897234,0.26516591004694073,0.2665192146659744,0.2513259615605403,0.26521407143457115,0.26454450879106817
