i,var,beta,ml,mom,gmm,cue,el
1,x1,-0.37441353287501605,-0.3828821996807853,-0.38219921475084473,-0.3898001226634295,-0.3887290721533924,-0.3845127081639442
1,x2,0.14994918186902773,0.01758455033839706,0.01666006874041362,0.015362049356883428,0.026224152189871643,0.023061242787072094
1,x3,0.4636108985708718,0.5111595142096498,0.5106491930747207,0.5153916471661664,0.5134959615195066,0.5003528122461984
1,x4,-0.2602189106693336,-0.1826986066262581,-0.18110088912360284,-0.1730322364341238,-0.17360298373473257,-0.16996247783056898
1,x5,-0.14907313138414435,-0.197135626303197,-0.20155411352914385,-0.20917109210573934,-0.20768458857673036,-0.20043546744380958
2,x1,0.04700688942741449,0.0012190475110273255,0.001502845458587552,0.0011672989250382996,0.001220840306995616,0.0013425794798885525
2,x2,-0.24525405909233822,-0.22628435146967946,-0.224842478419463,-0.22199945102831808,-0.22611116886078084,-0.22234553607189067
2,x3,0.3236511909215357,0.30835651730766034,0.30647587937843196,0.3168946371000381,0.3118898132265202,0.3073823968410184
2,x4,-0.22786209741498253,-0.21778149122938667,-0.21741691856218948,-0.22787004366672656,-0.22349122377723016,-0.21761254291823862
2,x5,-0.05200874079433687,-0.08047539383996054,-0.0802173943631535,-0.07440164557687229,-0.07766733680746336,-0.07833549962144136
3,x1,0.2538537608463276,0.18355626838055833,0.1847597122114384,0.19363135228290337,0.18372932853679386,0.17927866113100185
3,x2,-0.44991661272539185,-0.4869368529431933,-0.4825966124906206,-0.508518096841611,-0.5077246018292271,-0.489560390504563
3,x3,0.18465686296313721,0.29880707741338625,0.2987629313899806,0.30680129657223926,0.30272741977998474,0.2977777150887181
3,x4,0.2596615483075386,0.17401477109603095,0.17289846445933538,0.18789621671572052,0.17035784191775227,0.17005889569370858
3,x5,0.26242505353512513,0.28774859860012697,0.28413712535950497,0.28500474734912684,0.2962132256084105,0.2825868651414571
4,x1,0.08901037613725249,0.12680998023912307,0.12466124668151256,0.12236489262571688,0.12831972108552137,0.1298643028852081
4,x2,0.23026901015451984,0.22948237979873998,0.22484373589399168,0.23315761356473977,0.23585356247872857,0.2272823953953338
4,x3,0.37216703673143503,0.4135372359925812,0.41564552730799326,0.4382381280479316,0.43251803378552783,0.4266422558520673
4,x4,-0.0892770647931912,-0.18830854176863823,-0.18787050886576936,-0.1947736036458699,-0.19831096419144995,-0.19454157787302784
4,x5,-0.4857264901583805,-0.43261448982184914,-0.4302958873614562,-0.43232321501971954,-0.43435085244157545,-0.4282538087023542
5,x1,0.37985292519661806,0.4311397186553764,0.43272471769655285,0.4370368216167725,0.4557131780529749,0.4301591262817858
5,x2,0.12225322621610746,0.10806763409918406,0.11002498128502922,0.11881063996058462,0.1273671168147136,0.10412960363755625
5,x3,-0.3747116550663543,-0.28867154962653,-0.28842916624867526,-0.2820890299169439,-0.28967060050791793,-0.285439895132625
5,x4,0.2691850948591018,0.18181095760197308,0.18471234610801152,0.19108564808616935,0.19996097626536363,0.19207751338030296
5,x5,-0.43170015881621115,-0.40887662630698335,-0.41203278785360004,-0.4288434051046823,-0.44552947183783975,-0.4160926600397555
6,x1,-0.37427041652804394,-0.4187929461717089,-0.41590201213968486,-0.4222637741439815,-0.42782131580512456,-0.4175674622930984
6,x2,0.18390703370158168,0.13593281521576014,0.1395389488838773,0.14588620785578088,0.14378951568631873,0.13471263344762596
6,x3,-0.4870461498633025,-0.5186622669946006,-0.5179891931638733,-0.5406793923662199,-0.5335046968846142,-0.5143468104038299
6,x4,-0.29436290525539877,-0.3579487347187192,-0.35479905973465214,-0.3580585502583181,-0.36654656590982704,-0.34833475917015866
6,x5,0.4156397773076487,0.5604135750170469,0.5544188223148087,0.5651717333210742,0.5706892717993572,0.5410280711095088
7,x1,0.30507111979061585,0.23476174156315066,0.23621310877592053,0.2357364093806785,0.23454543082910778,0.22973790831376611
7,x2,-0.07857591946231923,-0.05692573048014538,-0.05753132630287301,-0.05541915167380166,-0.05927735662724553,-0.04860258141290243
7,x3,0.43268791562856335,0.48799472947293887,0.4931932414592274,0.485693527166777,0.5003484724574966,0.4806942185361892
7,x4,0.18650894653840489,0.2006697977418061,0.20220735817473054,0.2088154781050042,0.20702855626294553,0.2010032990517478
7,x5,0.4126030865175283,0.5024409941881244,0.500200461825095,0.508059976658799,0.5034743643098376,0.4899972760293215
8,x1,0.2944728148287036,0.25371491075647973,0.2533224695367247,0.2633132445847202,0.26142256990642837,0.25830786056868393
8,x2,0.33012737861520036,0.35452425817761807,0.3497830474373962,0.3618691568986797,0.3601726240265163,0.35519263564546477
8,x3,0.10703298851448617,0.16120984962505602,0.16679846964393163,0.1807071037046029,0.17939762919533625,0.17128896381605646
8,x4,0.006551235765837382,0.016623411520866885,0.011530575786824347,0.002081518985367068,0.00352910385607204,0.012098094276971892
8,x5,0.14573631093677897,0.12680751716292757,0.1238839523950892,0.1267835028699979,0.12494814158363471,0.12111742038369525
9,x1,-0.49882479332284,-0.492038914293228,-0.49594459329599777,-0.4923594096438292,-0.49960442126219967,-0.4867411284037938
9,x2,0.47905748725029584,0.5223024465741137,0.523418788345659,0.5252360364121114,0.5314624995308408,0.50879712592466
9,x3,0.18076886972410722,0.09477595024094362,0.09438472208391568,0.10267760229953093,0.0938242866531691,0.09261626880283487
9,x4,-0.18692691039312564,-0.12533123364797102,-0.12138442501775822,-0.11450838812703745,-0.12589990875107063,-0.12299269946637414
9,x5,-0.3544631804638406,-0.41962852348218105,-0.4239845865413325,-0.4437240049032213,-0.44012124643779615,-0.42491775703762596
10,x1,0.3562423642953886,0.397643415038376,0.3978239720094549,0.3946963891164474,0.39886628389365425,0.39487015977459267
10,x2,0.28190561445345363,0.29489857493115834,0.29666729214908133,0.3059781855330344,0.2957869634266125,0.29417419505084436
10,x3,0.1019181707405904,0.18700154385567466,0.18460028437777315,0.1725597360972008,0.18194050054557498,0.1796257168068266
10,x4,0.341997290527317,0.3818217239234869,0.39130076495079846,0.39911675778202277,0.3959162429284337,0.3859829457921748
10,x5,0.05409069109029696,0.018789019091534753,0.015752028548707976,0.022138197148218814,0.020748676952275,0.018361760877160137
11,x1,0.028907844799764493,-0.00344688457423593,-0.0031515415825168285,-0.006463007127863608,-0.005601138743214502,-0.006137651131711842
11,x2,0.2541188145654075,0.21808631152217,0.2169149781774395,0.20809041229736652,0.2190840348490115,0.2176934771883422
11,x3,0.032449540390983356,0.12099604476963734,0.12066103046116639,0.13186357908543003,0.12224361549791306,0.11838467709532763
11,x4,-0.25203777184334036,-0.2945069308466204,-0.2953084648244286,-0.3081172966794902,-0.29633386483494367,-0.29433517911964663
11,x5,-0.24438855676744592,-0.24100193624384514,-0.23779965152691004,-0.24508816655579627,-0.24546570879050994,-0.24124087520303197
12,x1,-0.18170667528058132,-0.17743408519927883,-0.17760838287070377,-0.18692253498210545,-0.17853860852433828,-0.17575698483983032
12,x2,0.2828821856154815,0.34069474668928784,0.3392807578236761,0.34637374211310246,0.34342291399928976,0.33575510332133884
12,x3,0.13404444672196292,0.11210592202086091,0.11298777609874802,0.1118122083023825,0.11597146484935557,0.11141679877733815
12,x4,-0.003550686812620274,0.08096288236702065,0.0799303913997046,0.08758021960898262,0.08646326247542374,0.08119621513702545
12,x5,-0.09058387410860641,-0.15582379590816686,-0.1568341946956038,-0.16514160892594365,-0.16167004878093266,-0.16131934269663428
13,x1,-0.015646093817052287,-0.05210271297692954,-0.05226798493294387,-0.053158796856863914,-0.052453590745170975,-0.05348742063609293
13,x2,0.18737109912866468,0.12751870096176288,0.12626645557517696,0.12789608945313158,0.13005761824887757,0.12595891136749152
13,x3,-0.421648790292197,-0.35864791258390943,-0.35647266104468334,-0.3690445788617309,-0.37446747966357286,-0.35838026322575617
13,x4,0.0700301757469487,-0.04767008191744185,-0.04691192234089518,-0.0517845789393491,-0.0459128594323447,-0.0478538748201882
13,x5,-0.38166746622576214,-0.3017198818147765,-0.30152400373345056,-0.2963823401747145,-0.3036572208627035,-0.3027195817721954
14,x1,-0.24434485165954778,-0.2072570968452535,-0.2063840593787999,-0.21726307696940061,-0.21565634702363753,-0.2073194460262381
14,x2,-0.4334670803884866,-0.3875930862414538,-0.3874729970163769,-0.4128523886888899,-0.418807430082818,-0.398054995275124
14,x3,0.20274115963144268,0.08136864887659317,0.08068576828694866,0.08337326812793912,0.09200107460878237,0.08499553055658775
14,x4,0.1754729446252744,0.19344871413941234,0.19177569033898392,0.18761326865505773,0.18715126756213044,0.18626925011391104
14,x5,0.25200605541869525,0.270869903188432,0.2708486115270693,0.28661022115774365,0.2816633875242313,0.27518654911004375
15,x1,0.3470577560802953,0.4099499973897719,0.40892713822816834,0.42120943381619186,0.42071660591321963,0.410403666340373
15,x2,-0.30437619758542833,-0.291667616252353,-0.29411383561391086,-0.3035746625058325,-0.30183748251695064,-0.2974573948301868
15,x3,-0.23012202881867577,-0.24526991450393096,-0.2427058383741858,-0.25808392515204925,-0.23861465609637983,-0.23043545785923975
15,x4,0.47510269722467324,0.43632552934417285,0.4376264001594682,0.44139389445199867,0.43223157111622357,0.422204257061369
15,x5,0.4033411338215126,0.3421414145327895,0.3344311897983267,0.34038158634871263,0.34621697701131177,0.33902556696783753
16,x1,-0.19347560504519512,-0.17256592963176134,-0.17331349595674006,-0.18033172090260713,-0.1789465233133363,-0.17862414335138585
16,x2,-0.1965653213871612,-0.10916432685987786,-0.10858153845402908,-0.10936641318459811,-0.10706446823399533,-0.1061595311882088
16,x3,-0.21550037311950643,-0.310584933923073,-0.313233890188603,-0.31955264140960327,-0.32224431383753016,-0.31601227399503445
16,x4,0.24332081098359293,0.2705501305437475,0.2671730171857733,0.27903719308919855,0.2771184112134436,0.27583803805755563
16,x5,0.347130636964732,0.4031164324446845,0.4068404987101553,0.40170720839509133,0.40774137375404274,0.39947856172683366
17,x1,0.45753022263904264,0.42312032228962226,0.41996705328587763,0.4450781821666775,0.4360769277848826,0.42925196567428603
17,x2,-0.3673742156042338,-0.3799345974148797,-0.38265529641025564,-0.4131937622948964,-0.39841291324628547,-0.3882036438949345
17,x3,-0.19988625090949702,-0.17140714247475763,-0.16901090234078614,-0.16305381902679733,-0.16514065403810033,-0.16150571176482958
17,x4,-0.4264301168027949,-0.4512734161098847,-0.45023012124007383,-0.4867070268880521,-0.4913340098384936,-0.47253499049086856
17,x5,0.4878509476485191,0.4976745953264344,0.49507204091172974,0.5184015228021401,0.5295962682617334,0.5126679505090886
18,x1,0.2576277639219945,0.25393385341130875,0.2539549222161046,0.25051223825024616,0.26329843364243827,0.25757304084536164
18,x2,0.03206711627309222,0.10049239914193947,0.09723794681618297,0.10492144954554566,0.10351783925661452,0.09729819626379654
18,x3,0.1966888168620119,0.17772611493418133,0.1800768767467711,0.22044044515655925,0.21434219964529502,0.1990980741710471
18,x4,0.3952914008918711,0.2718088002010899,0.2712958820507287,0.2867184515749112,0.2834186026124335,0.2691372116393761
