i,var,beta,ml,mom,gmm,cue,el
1,x1,1,0.9934870317438359,0.9939857253837614,0.9858466013283023,0.9864265972368056,0.9855082635609913
1,x2,1,1.0066289791317786,1.0020355167244095,0.996107623703095,0.9959495026496704,0.9934098560004362
2,x1,1,1.1286890899169113,1.1197293362213767,1.154887763816849,1.14744488439337,1.1387872625783464
2,x2,1,1.1713612162395615,1.1677458675685302,1.2216772976222219,1.2201400948777634,1.197155874465505
3,x1,1,0.9511458677416843,0.9470849150409776,0.9512615326438028,0.9537031998173113,0.9523421877170373
3,x2,1,0.974567928349264,0.9704341616125501,0.9796316226899434,0.9792811597343327,0.9762407878202543
4,x1,1,1.0620814303414041,1.0627115920188726,1.0665648879484197,1.0663869223453062,1.0658648438533416
4,x2,1,1.0666185455075965,1.0712760015592324,1.0777628091482256,1.0773229331019287,1.0760469361233074
5,x1,1,0.8958490802687834,0.8926731072788611,0.899890669480906,0.8983620939425913,0.896538801107405
5,x2,1,0.9476923474373083,0.9464099226799088,0.9542071150403906,0.9564946746148884,0.9516985291370794
6,x1,1,0.9361010337740256,0.9298798036333769,0.9341864656862247,0.93381926678002,0.9334815596368785
6,x2,1,1.0146987719788558,1.0027887328945337,1.0064508064756859,1.005111258696856,1.0045016955390258
7,x1,1,1.0220635053565963,1.0147826023026396,1.0321422822998405,1.0292666030224917,1.0265155709347111
7,x2,1,1.05979705324782,1.051867238172905,1.0709134491581846,1.0719538728936142,1.0653896679939296
8,x1,1,0.9917405715420847,0.9889550218030708,0.9952956867928213,0.9932779445348225,0.991729847063745
8,x2,1,1.073734972481284,1.0732368959511427,1.07929571415878,1.0784383258731671,1.0754181300665362
9,x1,1,1.004121454452012,0.996951889185698,1.0010662746588872,1.0031291081211555,1.0022605295051608
9,x2,1,0.9956446684865079,0.9816042288168542,0.9854346663560604,0.9853703553185461,0.9841127088331281
10,x1,1,1.0411333455631007,1.0346852261062645,1.0461699734431653,1.0485771196043412,1.0449855740004041
10,x2,1,1.0688848074058277,1.0640143813199345,1.0833191310176287,1.0851557569413925,1.0753297577047318
11,x1,1,1.0285996524936054,1.0211360324588288,1.0271882703019675,1.0300243276423593,1.0242685139156613
11,x2,1,1.0729092605581323,1.065098937176455,1.0679353782697754,1.0719445062468795,1.0636530907285597
12,x1,1,1.0342854929276755,1.0254119938033495,1.0347316644679545,1.0348328427284335,1.0292211255544446
12,x2,1,1.0105315474197565,0.9985345644651079,1.003184496475127,1.003656720691646,0.9961049354428162
13,x1,1,1.074088244692256,1.0745298478267151,1.0726456984743746,1.0734144917997142,1.0701288080515103
13,x2,1,1.0284651928481974,1.0235014593948746,1.032162647052728,1.031431976405179,1.028002766201886
14,x1,1,1.1006202898119792,1.0954009437941017,1.0997844242997892,1.1009703302075426,1.1004044730215292
14,x2,1,1.021757629410231,1.0132975639978714,1.0183880232257312,1.0188744168363537,1.017794549934178
15,x1,1,1.0181171330943075,1.0108613765413796,1.0205896753232204,1.0218460154233537,1.0179129240039069
15,x2,1,0.9620295210313694,0.9543077283690109,0.963764167616142,0.9661241827413803,0.9589841895556089
16,x1,1,0.95310267281182,0.9567598153733974,0.9555864558484853,0.9544527045620445,0.9526854645807205
16,x2,1,0.9193128035169005,0.9225763050505015,0.9220720429479347,0.9217344720935153,0.9179647742957617
17,x1,1,0.9880296938711762,0.989127971637553,0.988694345469805,0.987265005942684,0.9866688097583719
17,x2,1,0.9455821690710351,0.9451565835469541,0.9461248240187554,0.9443915880553835,0.9434954010537294
18,x1,1,1.0210714295603327,1.0252429619762142,1.0009450474977049,1.0077350078959433,0.9962712697098602
18,x2,1,1.051301135537384,1.0462663069895901,1.0378427253207088,1.041026334338868,1.0231911519008412
19,x1,1,0.9214388043756259,0.9192685070961092,0.9218494523579891,0.9236418863997822,0.9186995095618249
19,x2,1,0.8359003806026798,0.8409488070950947,0.853996757293092,0.8525610997092059,0.8428423095516149
20,x1,1,1.0427524434951163,1.0301939978909054,1.050234175829813,1.0491097874672453,1.0456966893681028
20,x2,1,1.133376199855061,1.1158320139299736,1.13887692443559,1.1325973559053921,1.1239234351852305
21,x1,1,0.9831237933450787,0.9849899670408054,0.9846767366182169,0.9847530041649619,0.9847243594477599
21,x2,1,1.073802036410597,1.0774470713581346,1.0774823856768998,1.0773296372859058,1.0772842255267752
