i,ml,mom,gmm,cue,el
1,0,1,1,1,0
2,0,1,1,0,0
3,0,1,1,0,0
4,0,1,0,1,1
5,0,1,0,0,0
6,0,1,1,1,1
7,0,1,0,0,0
8,0,1,0,0,1
9,0,1,1,1,1
10,0,1,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,0,1,0,1,0
14,0,1,0,1,1
15,0,1,0,0,1
16,0,1,1,0,0
17,0,1,0,0,0
18,0,0,0,0,0
19,0,1,0,1,1
20,0,1,1,1,1
21,0,1,0,1,0
22,0,1,1,1,1
23,0,1,0,1,1
24,0,0,0,0,0
25,0,0,1,1,0
26,0,1,1,0,0
27,0,0,0,1,0
28,0,1,1,1,1
29,0,0,1,1,0
30,0,1,1,1,0
31,0,1,0,1,1
32,0,1,1,1,0
33,0,1,1,0,1
34,0,0,1,0,1
35,0,1,0,0,1
36,0,1,1,1,1
37,0,0,0,1,0
38,0,1,1,1,1
39,0,0,1,0,0
40,0,1,0,0,0
41,0,0,0,0,0
42,0,0,0,0,0
43,0,0,1,1,0
44,0,0,1,1,0
45,0,1,0,1,1
46,0,0,1,0,1
47,0,1,0,1,0
48,0,1,0,0,0
49,0,1,0,1,0
50,0,0,0,1,0
51,0,1,0,0,1
52,0,0,0,0,0
53,0,1,1,1,1
54,0,0,0,1,1
55,0,0,0,0,0
56,0,0,0,0,1
57,0,1,0,0,0
58,0,0,0,0,1
59,0,0,0,0,0
60,0,1,0,0,1
61,0,0,1,1,0
62,0,1,0,1,1
63,0,0,0,0,0
64,0,0,1,1,1
65,0,0,0,0,1
66,0,1,0,1,0
67,0,1,0,1,0
68,0,1,0,0,0
69,0,1,0,1,0
70,0,1,1,0,0
71,0,1,1,0,0
72,0,0,0,0,0
73,0,0,1,0,0
74,0,1,0,0,1
75,0,1,1,0,0
76,0,1,0,0,1
77,0,1,1,1,1
78,0,1,1,0,1
79,0,0,0,0,0
80,0,0,1,0,0
81,0,1,1,1,0
82,0,1,1,1,0
83,0,1,0,10,1
84,0,0,0,1,1
85,0,0,0,0,0
86,0,1,0,0,0
87,0,1,0,0,0
88,0,1,0,0,0
89,0,0,0,0,1
90,0,0,0,0,0
91,0,1,0,0,0
92,0,1,0,0,0
93,0,1,1,1,1
94,0,1,1,0,0
95,0,0,0,1,0
96,0,1,0,0,0
97,0,1,1,1,1
98,0,1,0,0,0
99,0,1,0,1,0
100,0,0,1,0,0
101,0,0,1,1,0
102,0,1,0,0,1
103,0,0,0,1,1
104,0,0,1,0,0
105,0,1,0,1,0
106,0,1,0,1,1
107,0,1,0,0,0
108,0,1,0,1,0
109,0,1,1,1,0
110,0,0,0,0,0
111,0,1,0,0,1
112,0,1,0,1,1
113,0,1,0,1,0
114,0,0,0,0,0
115,0,1,0,0,0
116,0,1,0,1,1
117,0,0,0,0,0
118,0,1,0,0,0
119,0,0,0,0,0
120,0,0,1,1,0
121,0,1,1,0,1
122,0,1,0,1,0
123,0,0,0,1,0
124,0,1,0,0,0
125,0,1,0,0,0
126,0,1,0,0,0
127,0,10,0,1,0
128,0,1,1,1,0
129,0,1,1,1,0
130,0,1,0,1,0
131,0,1,1,1,0
132,0,1,0,0,0
133,0,1,0,0,0
134,0,1,1,1,0
135,0,1,0,1,1
136,0,0,1,1,0
137,0,1,0,0,0
138,0,1,1,0,1
139,0,1,0,0,0
140,0,1,1,1,0
141,0,1,0,1,1
142,0,0,1,0,0
143,0,0,0,0,0
144,0,1,1,1,1
145,0,1,0,0,0
146,0,0,0,1,0
147,0,0,1,1,1
148,0,1,0,1,1
149,0,1,0,1,1
150,0,0,0,0,1
151,0,1,0,1,0
152,0,1,0,0,0
153,0,1,0,0,0
154,0,0,0,0,0
155,0,0,0,0,0
156,0,1,1,1,0
157,0,1,0,1,0
158,0,1,0,0,1
159,0,0,0,1,0
160,0,0,0,0,0
161,0,1,0,1,1
162,0,1,1,0,0
163,0,0,0,0,0
164,0,0,0,0,0
165,0,0,0,0,0
166,0,1,0,0,0
167,0,1,0,0,0
168,0,1,1,1,0
169,0,1,0,1,0
170,0,0,1,0,0
171,0,0,0,0,0
172,0,1,0,0,0
173,0,0,0,1,0
174,0,1,0,1,1
175,0,0,0,0,0
176,0,0,1,0,0
177,0,0,1,0,1
178,0,1,0,0,0
179,0,1,1,0,0
180,0,0,0,0,0
181,0,1,1,1,0
182,0,0,0,0,0
183,0,0,1,0,0
184,0,0,0,0,0
185,0,1,0,1,0
186,0,0,0,1,0
187,0,1,1,10,0
188,0,0,1,1,1
189,0,1,1,1,1
190,0,1,0,0,0
