i,var,beta,estimator,error,converge,time,k,n,x_var,blim,rho,covar
1086,x1,-0.9753247133613424,cue,-140465.45017066164,0,2.462999999999738,10,1000,_diagish_rho0_5,,0.5,x1
1086,x5,-0.7826679746608572,cue,-159587.6213020168,0,2.462999999999738,10,1000,_diagish_rho0_5,,0.5,x5
1086,x7,-0.00324150516517285,cue,-104225.9157575832,0,2.462999999999738,10,1000,_diagish_rho0_5,,0.5,x7
1086,x8,-0.3105790630449645,cue,-107390.69485710558,0,2.462999999999738,10,1000,_diagish_rho0_5,,0.5,x8
1086,x9,-0.961054292484022,cue,-136566.67536828484,0,2.462999999999738,10,1000,_diagish_rho0_5,,0.5,x9
1689,x1,-0.8707383491828983,cue,-173302.87241332597,0,3.05600000000004,10,1000,_diagish_rho0_5,,0.5,x1
1689,x2,0.11450391351636836,cue,-131911.72453318076,0,3.05600000000004,10,1000,_diagish_rho0_5,,0.5,x2
1689,x3,-0.3026864647303672,cue,-423246.022475553,0,3.05600000000004,10,1000,_diagish_rho0_5,,0.5,x3
1689,x4,-0.7859035454382974,cue,-859910.4751315296,0,3.05600000000004,10,1000,_diagish_rho0_5,,0.5,x4
1689,x5,-0.7071209585017431,cue,-671075.7806841158,0,3.05600000000004,10,1000,_diagish_rho0_5,,0.5,x5
1689,x6,0.3957702546194693,cue,-332126.96355975623,0,3.05600000000004,10,1000,_diagish_rho0_5,,0.5,x6
1689,x7,-0.6884213311578233,cue,-557207.8549916653,0,3.05600000000004,10,1000,_diagish_rho0_5,,0.5,x7
1689,x8,-0.9548419952874851,cue,-878276.4175463944,0,3.05600000000004,10,1000,_diagish_rho0_5,,0.5,x8
1689,x9,-0.7579598481896446,cue,-797107.5146709406,0,3.05600000000004,10,1000,_diagish_rho0_5,,0.5,x9
4131,x2,-0.7659659966176672,cue,-187563.169446987,0,3.0860000000000127,10,1000,_diagish_rho0_5,,0.5,x2
4131,x3,-0.7607069640017693,cue,-167925.13560609813,0,3.0860000000000127,10,1000,_diagish_rho0_5,,0.5,x3
4131,x4,-0.8046549515259056,cue,-151408.8582001309,0,3.0860000000000127,10,1000,_diagish_rho0_5,,0.5,x4
4131,x5,-0.5522421470066454,cue,-125131.27646714362,0,3.0860000000000127,10,1000,_diagish_rho0_5,,0.5,x5
4131,x6,-0.9412642633037098,cue,-165704.20847177578,0,3.0860000000000127,10,1000,_diagish_rho0_5,,0.5,x6
4131,x7,-0.2980398056079352,cue,-108657.46377942905,0,3.0860000000000127,10,1000,_diagish_rho0_5,,0.5,x7
4131,x8,-0.18401367177135383,cue,-120625.26996755373,0,3.0860000000000127,10,1000,_diagish_rho0_5,,0.5,x8
4421,x1,0.8187365625745631,cue,765645.39489441,0,3.536999999999807,10,1000,_diagish_rho0_9,,0.9,x1
4421,x2,-0.359931649376122,cue,-184797.31470603123,0,3.536999999999807,10,1000,_diagish_rho0_9,,0.9,x2
4421,x5,0.09794329953664138,cue,-206776.52558872057,0,3.536999999999807,10,1000,_diagish_rho0_9,,0.9,x5
4421,x7,0.46103735312255334,cue,-107631.8508422194,0,3.536999999999807,10,1000,_diagish_rho0_9,,0.9,x7
4421,x9,0.30430093903434363,cue,-108015.08806002258,0,3.536999999999807,10,1000,_diagish_rho0_9,,0.9,x9
4421,x10,-0.8465271792555351,cue,-216267.82981646023,0,3.536999999999807,10,1000,_diagish_rho0_9,,0.9,x10
28,x2,-0.9661287024977548,cue,-111871.09082320626,0,2.6030000000000655,10,1000,_decay_rho0_5,,0.5,x2
2403,x1,-0.8638853853773698,cue,-122373.1627078157,0,2.9890000000000043,10,1000,_decay_rho0_5,,0.5,x1
2403,x3,0.8310665615978292,cue,112285.91961577804,0,2.9890000000000043,10,1000,_decay_rho0_5,,0.5,x3
2403,x7,0.7785319001261695,cue,182574.91131357025,0,2.9890000000000043,10,1000,_decay_rho0_5,,0.5,x7
2403,x8,0.3848490337954366,cue,120425.0572757499,0,2.9890000000000043,10,1000,_decay_rho0_5,,0.5,x8
2403,x10,-0.8621491201517677,cue,-172282.127717212,0,2.9890000000000043,10,1000,_decay_rho0_5,,0.5,x10
