i,ml,mom,gmm,cue,el
1,0.06400000000000006,0.5680000000000001,6.721,6.2509999999999994,68.218
2,0.01300000000000523,0.6749999999999972,6.087999999999994,3.410000000000011,20.069000000000003
3,0.012000000000000455,0.6289999999999907,6.451000000000008,12.489999999999995,22.708999999999975
4,0.012000000000000455,0.6519999999999868,6.4879999999999995,1.6680000000000064,141.58999999999997
5,0.016000000000019554,0.7259999999999991,5.974999999999966,2.8430000000000177,25.924000000000035
6,0.012000000000000455,0.6020000000000323,6.2239999999999895,1.9290000000000305,28.187000000000012
7,0.011000000000024102,0.6399999999999864,6.04400000000004,10.050999999999988,25.05000000000001
8,0.012000000000000455,0.6150000000000091,6.737000000000023,4.860000000000014,37.057000000000016
9,0.011000000000024102,0.6840000000000259,6.353000000000009,3.3859999999999673,16.160000000000025
10,0.011000000000024102,0.6189999999999714,6.441000000000031,4.123000000000047,64.35000000000002
11,0.01599999999996271,0.55600000000004,6.3689999999999145,2.9470000000000027,22.831999999999994
12,0.010999999999967258,0.6349999999999909,6.283999999999992,3.699000000000069,15.652000000000044
13,0.011000000000080945,0.7200000000000273,6.15199999999993,9.030999999999949,84.79599999999994
14,0.011000000000080945,0.6410000000000764,6.5779999999999745,4.005999999999972,23.121999999999957
15,0.013000000000033651,0.5850000000000364,5.533999999999992,3.7659999999999627,20.144000000000005
16,0.011000000000080945,0.63900000000001,6.927000000000021,3.7000000000000455,25.64300000000003
17,0.016999999999939064,0.6330000000000382,6.116999999999962,1.830000000000041,28.753000000000043
18,0.010999999999967258,0.6100000000000136,5.923000000000002,5.190999999999917,59.322
19,0.010999999999967258,0.636000000000081,6.663000000000011,2.647000000000048,18.06600000000003
20,0.011999999999943611,0.6340000000000146,6.317000000000007,1.5579999999999927,99.61599999999999
21,0.03100000000000014,0.6190000000000002,5.727,4.012,290.03499999999997
22,0.011000000000024102,0.7090000000000032,6.947000000000003,2.9390000000000214,51.774
23,0.011000000000024102,0.6259999999999764,6.185000000000002,3.26400000000001,20.863
24,0.012000000000000455,0.6279999999999859,6.189999999999998,2.4150000000000205,29.644000000000005
25,0.011000000000024102,0.5920000000000414,5.954999999999984,2.555000000000007,17.581000000000017
26,0.010999999999967258,0.6120000000000232,5.559000000000026,2.0260000000000105,23.67900000000003
27,0.012000000000000455,0.6949999999999932,6.552999999999997,3.3999999999999773,207.262
28,0.010999999999967258,0.6509999999999536,6.122999999999934,3.141999999999939,62.21199999999999
29,0.010999999999967258,0.6440000000000055,6.812999999999988,3.9700000000000273,19.283000000000015
30,0.010999999999967258,0.6320000000000618,5.983000000000061,1.6610000000000582,21.034999999999968
31,0.012999999999919964,0.72899999999992815,6.211000000000013,9.456000000000017,22.96199999999999
32,0.010999999999967258,0.6009999999999991,6.298999999999978,3.699999999999932,15.956999999999994
33,0.010999999999967258,0.5550000000000637,5.846000000000004,4.729000000000042,50.33000000000004
34,0.010000000000104592,0.5810000000000173,5.474999999999909,3.0439999999999827,28.326999999999998
35,0.011000000000080945,0.5890000000000555,6.051000000000045,6.72199999999998,65.50400000000002
