i,ml,mom,gmm,cue,el
1,0.010000000000000009,0.18300000000000005,0.5609999999999999,0.17700000000000005,0.8520000000000003
2,0.006000000000000227,0.11500000000000021,0.5129999999999999,0.16199999999999992,0.379
3,0.004999999999999893,0.11800000000000033,0.6020000000000003,0.17499999999999982,0.8220000000000001
4,0.006000000000000227,0.11800000000000033,0.5789999999999997,0.17799999999999994,0.7919999999999998
5,0.006000000000000227,0.12699999999999978,0.569,0.20399999999999885,1.0389999999999997
6,0.006999999999999673,0.14000000000000057,0.6269999999999989,0.2550000000000008,1.184000000000001
7,0.006000000000000227,0.1379999999999999,0.6879999999999988,0.19399999999999906,0.8819999999999997
8,0.006000000000000227,0.12899999999999956,0.5670000000000002,0.19099999999999895,0.4939999999999998
9,0.005999999999998451,0.1479999999999997,0.6050000000000004,0.20800000000000018,1.0600000000000023
10,0.006000000000000227,0.16399999999999793,0.5670000000000002,0.22300000000000253,0.5240000000000009
11,0.0070000000000014495,0.12900000000000134,0.5760000000000005,0.16100000000000136,0.4269999999999996
12,0.006000000000000227,0.12600000000000122,0.6510000000000034,0.17999999999999972,0.48499999999999943
13,0.004999999999999005,0.1280000000000001,0.5669999999999966,0.21000000000000085,0.4980000000000011
14,0.004999999999999005,0.13700000000000045,0.6059999999999981,0.2010000000000005,0.7149999999999999
15,0.005999999999996675,0.14499999999999957,0.5950000000000024,0.21499999999999986,0.9289999999999985
16,0.004999999999999005,0.13400000000000034,0.5910000000000011,0.28200000000000003,0.4770000000000003
17,0.0070000000000014495,0.1700000000000017,0.6370000000000005,0.22100000000000009,1.1020000000000003
18,0.005999999999996675,0.13599999999999923,0.5680000000000014,0.1750000000000007,4.413000000000004
19,0.006000000000000227,0.134999999999998,0.7250000000000014,0.19700000000000273,1.0989999999999966
20,0.006000000000000227,0.12600000000000477,0.6700000000000017,0.2119999999999962,0.8119999999999976
21,0.010999999999999899,0.20300000000000007,0.5519999999999998,0.19599999999999973,1.2000000000000002
22,0.006999999999999673,0.23999999999999977,0.5100000000000007,0.1719999999999997,0.49099999999999966
23,0.004999999999999893,0.12399999999999967,0.5410000000000004,0.1980000000000004,1.1989999999999998
24,0.006000000000000227,0.11699999999999999,0.47500000000000053,0.1670000000000007,0.4660000000000011
25,0.004999999999999005,0.11800000000000033,0.629999999999999,0.18200000000000038,0.8979999999999997
26,0.006000000000000227,0.12600000000000122,0.5359999999999996,0.14400000000000013,0.9690000000000012
27,0.006000000000000227,0.12100000000000044,0.5400000000000009,0.20399999999999885,0.7779999999999987
