i,ml,mom,gmm,cue,el
1,0.010000000000000009,0.10200000000000009,0.1100000000000001,0.030000000000000027,0.266
2,0.006000000000000005,0.04400000000000004,0.11099999999999999,0.029000000000000137,0.2430000000000001
3,0.004999999999999893,0.03299999999999992,0.11799999999999988,0.03299999999999992,0.1339999999999999
4,0.0040000000000000036,0.03200000000000003,0.09699999999999998,0.03500000000000014,0.19600000000000017
5,0.004999999999999893,0.04100000000000037,0.09299999999999997,0.028000000000000025,0.18100000000000005
6,0.004999999999999893,0.039000000000000146,0.1030000000000002,0.03299999999999992,0.19100000000000028
7,0.006000000000000227,0.04200000000000026,0.10699999999999976,0.028000000000000025,0.22799999999999976
8,0.004999999999999893,0.0389999999999997,0.11099999999999977,0.031000000000000583,0.20400000000000063
9,0.005999999999999339,0.041999999999999815,0.09999999999999964,0.03799999999999937,0.2030000000000003
10,0.005999999999999339,0.03200000000000003,0.17300000000000004,0.028999999999999915,0.31700000000000017
11,0.004999999999999893,0.032999999999999474,0.10599999999999987,0.030999999999999694,0.6019999999999994
12,0.004999999999999893,0.030999999999999694,0.09600000000000009,0.03300000000000036,0.2920000000000007
13,0.006999999999999673,0.054999999999999716,0.1070000000000002,0.03900000000000059,0.19100000000000072
14,0.004999999999999893,0.03900000000000059,0.10599999999999987,0.027000000000000135,0.15399999999999991
15,0.004999999999999893,0.032999999999999474,0.10500000000000043,0.03500000000000014,0.19899999999999984
16,0.004999999999999893,0.04699999999999971,0.10599999999999987,0.03500000000000014,0.14499999999999957
17,0.006000000000000227,0.04300000000000104,0.1070000000000011,0.023999999999999133,0.15199999999999925
18,0.006000000000000227,0.04400000000000048,0.0990000000000002,0.028999999999999915,0.20399999999999885
19,0.005000000000000782,0.04499999999999993,0.10200000000000031,0.032999999999999474,0.19099999999999895
20,0.005000000000000782,0.045999999999999375,0.10599999999999987,0.028999999999999915,0.2090000000000014
21,0.006000000000000227,0.040000000000000924,0.1120000000000001,0.03200000000000003,0.23199999999999932
22,0.004999999999999005,0.040000000000000924,0.10200000000000031,0.030000000000001137,0.27699999999999925
23,0.005000000000000782,0.03999999999999915,0.11700000000000088,0.03599999999999959,0.21399999999999864
24,0.005000000000000782,0.038000000000000256,0.10500000000000043,0.04100000000000037,0.32500000000000107
25,0.006999999999999673,0.057000000000000384,0.11300000000000132,0.041999999999999815,0.27399999999999913
26,0.005000000000000782,0.03999999999999915,0.10099999999999909,0.030999999999998806,0.18900000000000006
27,0.005999999999998451,0.03999999999999915,0.10899999999999999,0.031000000000000583,0.13700000000000045
28,0.006000000000000227,0.0470000000000006,0.10899999999999999,0.041999999999999815,0.2029999999999994
29,0.004999999999999005,0.0389999999999997,0.10400000000000098,0.031000000000000583,0.22699999999999854
30,0.006000000000000227,0.04099999999999859,0.11500000000000021,0.028999999999999915,0.17799999999999905
31,0.006000000000000227,0.04600000000000115,0.1280000000000001,0.03200000000000003,0.34299999999999997
32,0.006000000000000227,0.03999999999999915,0.12100000000000044,0.03500000000000014,0.20400000000000063
33,0.005999999999998451,0.0389999999999997,0.11599999999999966,0.03500000000000014,0.23399999999999999
34,0.006000000000000227,0.049000000000001265,0.12100000000000044,0.04100000000000037,0.22600000000000087
35,0.006999999999999673,0.04299999999999926,0.12399999999999878,0.03599999999999959,0.18500000000000227
36,0.004999999999999005,0.03999999999999915,0.11700000000000088,0.038999999999997925,0.23900000000000077
37,0.006000000000000227,0.0470000000000006,0.10900000000000176,0.0400000000000027,0.2220000000000013
38,0.0070000000000014495,0.04100000000000037,0.10699999999999932,0.038999999999997925,0.32700000000000173
39,0.0070000000000014495,0.04299999999999926,0.1039999999999992,0.0400000000000027,0.28100000000000236
40,0.006000000000000227,0.04899999999999949,0.11299999999999955,0.04800000000000182,0.2870000000000026
