estimator,k,x_var,rmse,mean_bias,median_bias,sd,mae
ml,2,,0.048058967174173274,-3.522229799896236e-4,-3.687018384953833e-4,0.04806007950414591,0.03206690129658819
ml,2,_decay_rho0_5,0.04805801010362887,2.2839098648641415e-4,2.4440215880658367e-4,0.04805987045126698,0.03134405741119428
ml,2,_decay_rho0_9,0.048129031100652156,-1.363549430292809e-4,-8.484510413597768e-5,0.04813124456823678,0.032491061812561006
ml,2,_diagish_rho0_5,0.04805801010362887,2.2839098648641415e-4,2.4440215880658367e-4,0.04805987045126698,0.03134405741119428
ml,2,_diagish_rho0_9,0.048129031100652156,-1.363549430292809e-4,-8.484510413597768e-5,0.04813124456823678,0.032491061812561006
ml,5,,0.05562715389425603,3.029051935703129e-4,6.109951578011502e-6,0.05562744174694684,0.03663703650675454
ml,5,_decay_rho0_5,0.06306702991364387,-6.765344757520838e-4,-9.490822781754726e-4,0.06306466244496628,0.04106374004037194
ml,5,_decay_rho0_9,0.12254775509652793,-5.130823490991016e-4,4.4281249963827596e-5,0.12254913201362105,0.0709150576920879
ml,5,_diagish_rho0_5,0.06494072596810889,-6.566948186125571e-4,-5.268784869601473e-4,0.06493870434951042,0.04201795800030034
ml,5,_diagish_rho0_9,0.12422262586368737,6.05251894155232e-5,-4.339685332208909e-4,0.12422509564555233,0.07194807889353602
ml,10,,0.0640719838481148,-3.671462938633992e-5,3.3981206747246695e-5,0.06407261405832072,0.0416281920057123
ml,10,_decay_rho0_5,0.07569803374144324,3.2444710286844185e-4,5.616556487438307e-4,0.07569809542142476,0.049369710814156295
ml,10,_decay_rho0_9,0.15692425313970287,5.20529691543694e-5,-5.907770224725661e-4,0.1569258137725037,0.09482108535637346
ml,10,_diagish_rho0_5,0.07938859670154505,-4.39527196028297e-4,1.376455291738493e-4,0.07938817387827708,0.05094473028810556
ml,10,_diagish_rho0_9,0.15834168949175653,1.3374692158841928e-4,-1.264964866453111e-4,0.15834321644563337,0.09616805805232823
mom,2,,0.04826244530769873,-2.9008739359168986e-4,-2.1780948989191806e-5,0.04826398675642588,0.032258230469523454
mom,2,_decay_rho0_5,0.048253066398903546,2.765110547621954e-4,9.000563598737799e-5,0.04825468692277042,0.03150050147871564
mom,2,_decay_rho0_9,0.04834267505213291,-7.26759199014111e-5,8.654021610915441e-5,0.04834503773578161,0.03225358768166983
mom,2,_diagish_rho0_5,0.048253066398903546,2.765110547621954e-4,9.000563598737799e-5,0.04825468692277042,0.03150050147871564
mom,2,_diagish_rho0_9,0.04834267505213291,-7.26759199014111e-5,8.654021610915441e-5,0.04834503773578161,0.03225358768166983
mom,5,,0.05592316551308716,3.07774433493363e-4,1.4645360216225534e-6,0.05592343706474732,0.03683405615821242
mom,5,_decay_rho0_5,0.0634402979267858,-7.030736789322999e-4,-0.0011140080859093904,0.06343767068519944,0.041473587909886415
mom,5,_decay_rho0_9,0.12305419196912375,-5.130758048812997e-4,-8.447725388938121e-5,0.12305558346315401,0.07115986901825344
mom,5,_diagish_rho0_5,0.06528738474244451,-6.657495469507894e-4,-4.300023716114487e-4,0.06528529597729908,0.04212982908399812
mom,5,_diagish_rho0_9,0.12480820903923265,1.0935566506803806e-4,-1.9782010513842187e-4,0.12481065736918073,0.07191983104425677
mom,10,,0.06449468058096536,-3.897361404222477e-5,-2.3004115987036722e-4,0.06449531376160676,0.04192080106089836
mom,10,_decay_rho0_5,0.0761155678468156,3.167620692534054e-4,3.719537186830657e-4,0.07611566988694718,0.049543120260384765
mom,10,_decay_rho0_9,0.15769006602575578,6.968513894892399e-5,-8.125780796643112e-4,0.1576916275525642,0.09554938105129981
mom,10,_diagish_rho0_5,0.07982110288622553,-4.122134104686744e-4,-1.3547286488807542e-4,0.07982083671195823,0.05136502995178137
mom,10,_diagish_rho0_9,0.15921095915216343,1.438187599024814e-4,-2.652956213629598e-4,0.1592124863276502,0.0964886241122902
gmm,2,,0.049261506230560435,-3.6230838660538647e-4,-3.2887517349422524e-4,0.04926263705362806,0.032673962254595235
gmm,2,_decay_rho0_5,0.049332605194730546,2.3744653823666717e-4,2.710890519163067e-4,0.049334500542064966,0.03213742853019505
